y,ds
2326.95895386955,2000-01-31
2437.34754900753,2000-02-29
2437.34754900753,2000-03-31
2437.34754900753,2000-04-30
2437.34754900753,2000-05-31
2437.34754900753,2000-06-30
2437.34754900753,2000-07-31
2547.73614414551,2000-08-31
2547.73614414551,2000-09-30
2658.12473928349,2000-10-31
2878.90192955944,2000-11-30
2878.90192955944,2000-12-31
2878.90192955944,2001-01-31
2878.90192955944,2001-02-28
2989.29052469742,2001-03-31
3099.6791198354,2001-04-30
3210.06771497338,2001-05-31
3210.06771497338,2001-06-30
3210.06771497338,2001-07-31
3210.06771497338,2001-08-31
3320.45631011136,2001-09-30
3320.45631011136,2001-10-31
3320.45631011136,2001-11-30
3320.45631011136,2001-12-31
3430.84490524933,2002-01-31
3541.23350038731,2002-02-28
3541.23350038731,2002-03-31
3541.23350038731,2002-04-30
3541.23350038731,2002-05-31
3541.23350038731,2002-06-30
3651.62209552529,2002-07-31
3651.62209552529,2002-08-31
3651.62209552529,2002-09-30
3651.62209552529,2002-10-31
3651.62209552529,2002-11-30
3651.62209552529,2002-12-31
3762.01069066327,2003-01-31
3762.01069066327,2003-02-28
3762.01069066327,2003-03-31
3982.78788093922,2003-04-30
3982.78788093922,2003-05-31
3982.78788093922,2003-06-30
3982.78788093922,2003-07-31
3982.78788093922,2003-08-31
3982.78788093922,2003-09-30
3982.78788093922,2003-10-31
4093.1764760772,2003-11-30
4093.1764760772,2003-12-31
4093.1764760772,2004-01-31
4093.1764760772,2004-02-29
4203.56507121518,2004-03-31
4203.56507121518,2004-04-30
4203.56507121518,2004-05-31
4203.56507121518,2004-06-30
4203.56507121518,2004-07-31
4203.56507121518,2004-08-31
4313.95366635316,2004-09-30
4313.95366635316,2004-10-31
4313.95366635316,2004-11-30
4313.95366635316,2004-12-31
4313.95366635316,2005-01-31
4424.34226149114,2005-02-28
4424.34226149114,2005-03-31
4424.34226149114,2005-04-30
4424.34226149114,2005-05-31
4424.34226149114,2005-06-30
4424.34226149114,2005-07-31
4424.34226149114,2005-08-31
4424.34226149114,2005-09-30
4424.34226149114,2005-10-31
4424.34226149114,2005-11-30
4424.34226149114,2005-12-31
4534.73085662911,2006-01-31
4534.73085662911,2006-02-28
4645.11945176709,2006-03-31
4645.11945176709,2006-04-30
4645.11945176709,2006-05-31
4645.11945176709,2006-06-30
4645.11945176709,2006-07-31
4645.11945176709,2006-08-31
4755.50804690507,2006-09-30
4865.89664204305,2006-10-31
4865.89664204305,2006-11-30
4865.89664204305,2006-12-31
4865.89664204305,2007-01-31
4976.28523718103,2007-02-28
4976.28523718103,2007-03-31
4976.28523718103,2007-04-30
4976.28523718103,2007-05-31
4976.28523718103,2007-06-30
4865.89664204305,2007-07-31
4865.89664204305,2007-08-31
4865.89664204305,2007-09-30
4865.89664204305,2007-10-31
4865.89664204305,2007-11-30
4865.89664204305,2007-12-31
4865.89664204305,2008-01-31
4865.89664204305,2008-02-29
4976.28523718103,2008-03-31
5086.673832319,2008-04-30
5086.673832319,2008-05-31
5197.06242745698,2008-06-30
5197.06242745698,2008-07-31
5197.06242745698,2008-08-31
5197.06242745698,2008-09-30
5197.06242745698,2008-10-31
5197.06242745698,2008-11-30
5197.06242745698,2008-12-31
5307.45102259496,2009-01-31
5307.45102259496,2009-02-28
5307.45102259496,2009-03-31
5528.22821287091,2009-04-30
5528.22821287091,2009-05-31
5528.22821287091,2009-06-30
5528.22821287091,2009-07-31
5528.22821287091,2009-08-31
5528.22821287091,2009-09-30
5528.22821287091,2009-10-31
5528.22821287091,2009-11-30
5528.22821287091,2009-12-31
5638.61680800889,2010-01-31
5638.61680800889,2010-02-28
5749.00540314687,2010-03-31
5859.39399828485,2010-04-30
5859.39399828485,2010-05-31
5969.78259342283,2010-06-30
5969.78259342283,2010-07-31
5969.78259342283,2010-08-31
5969.78259342283,2010-09-30
5969.78259342283,2010-10-31
6080.1711885608,2010-11-30
6190.55978369878,2010-12-31
6300.94837883676,2011-01-31
6300.94837883676,2011-02-28
6632.11416425069,2011-03-31
6632.11416425069,2011-04-30
6852.89135452665,2011-05-31
6963.27994966463,2011-06-30
6963.27994966463,2011-07-31
7073.66854480261,2011-08-31
7073.66854480261,2011-09-30
7294.44573507856,2011-10-31
7294.44573507856,2011-11-30
7294.44573507856,2011-12-31
7736.00011563047,2012-01-31
7956.77730590643,2012-02-29
7956.77730590643,2012-03-31
8067.16590104441,2012-04-30
8287.94309132037,2012-05-31
8287.94309132037,2012-06-30
8287.94309132037,2012-07-31
8287.94309132037,2012-08-31
8287.94309132037,2012-09-30
8398.33168645834,2012-10-31
8398.33168645834,2012-11-30
8508.72028159632,2012-12-31
8508.72028159632,2013-01-31
8508.72028159632,2013-02-28
8619.1088767343,2013-03-31
8508.72028159632,2013-04-30
8508.72028159632,2013-05-31
8508.72028159632,2013-06-30
8619.1088767343,2013-07-31
8619.1088767343,2013-08-31
8619.1088767343,2013-09-30
8619.1088767343,2013-10-31
8619.1088767343,2013-11-30
8508.72028159632,2013-12-31
8398.33168645834,2014-01-31
8398.33168645834,2014-02-28
8508.72028159632,2014-03-31
8508.72028159632,2014-04-30
8398.33168645834,2014-05-31
8398.33168645834,2014-06-30
8508.72028159632,2014-07-31
8619.1088767343,2014-08-31
8619.1088767343,2014-09-30
8619.1088767343,2014-10-31
8619.1088767343,2014-11-30
8729.49747187228,2014-12-31
8950.27466214823,2015-01-31
8950.27466214823,2015-02-28
9060.66325728621,2015-03-31
9060.66325728621,2015-04-30
9060.66325728621,2015-05-31
9060.66325728621,2015-06-30
9060.66325728621,2015-07-31
9171.05185242419,2015-08-31
9171.05185242419,2015-09-30
9171.05185242419,2015-10-31
9171.05185242419,2015-11-30
9171.05185242419,2015-12-31
9171.05185242419,2016-01-31
9171.05185242419,2016-02-29
9281.44044756217,2016-03-31
9281.44044756217,2016-04-30
9281.44044756217,2016-05-31
9281.44044756217,2016-06-30
9281.44044756217,2016-07-31
9281.44044756217,2016-08-31
9281.44044756217,2016-09-30
9281.44044756217,2016-10-31
9391.82904270014,2016-11-30
9391.82904270014,2016-12-31
9502.21763783812,2017-01-31
9502.21763783812,2017-02-28
9722.99482811408,2017-03-31
9722.99482811408,2017-04-30
9722.99482811408,2017-05-31
9833.38342325206,2017-06-30
9833.38342325206,2017-07-31
9833.38342325206,2017-08-31
