y,ds
47586.7179120516,2000-01-01
42201.4815656424,2000-01-02
37439.0225235779,2000-01-03
31055.7436916156,2000-01-04
27469.0049419626,2000-01-05
27129.1848240917,2000-01-06
28135.0704725962,2000-01-07
28011.9931462834,2000-01-08
29699.1781611539,2000-01-09
31273.2406334574,2000-01-10
34524.6841669423,2000-01-11
39833.1480144628,2000-01-12
44757.7493675398,2000-01-13
47649.7648757756,2000-01-14
47109.1899523628,2000-01-15
48179.0275449317,2000-01-16
46406.6235479942,2000-01-17
48526.539995697,2000-01-18
50319.4568803533,2000-01-19
52393.0685006321,2000-01-20
51085.0702484457,2000-01-21
50618.8545430135,2000-01-22
49002.8613149319,2000-01-23
47867.7143077877,2000-01-24
45009.1830721517,2000-01-25
41237.6775029728,2000-01-26
38468.2868308795,2000-01-27
34592.1052023121,2000-01-28
29971.2755835413,2000-01-29
27326.7721984418,2000-01-30
27715.4612547015,2000-01-31
29235.8282268,2000-02-01
31047.2972084372,2000-02-02
32861.9336212663,2000-02-03
34034.4864824859,2000-02-04
39968.1409152592,2000-02-05
44729.9966370967,2000-02-06
48328.8017912902,2000-02-07
48846.2997160193,2000-02-08
49219.60410649,2000-02-09
49131.8210134581,2000-02-10
48516.5852119512,2000-02-11
50120.0595453221,2000-02-12
51833.488990068,2000-02-13
51925.6461547458,2000-02-14
52541.7869365933,2000-02-15
48845.8472258491,2000-02-16
47878.2724117606,2000-02-17
45091.6871131971,2000-02-18
42046.8807574677,2000-02-19
36588.7934936455,2000-02-20
29870.822765742,2000-02-21
25766.5860913598,2000-02-22
25005.3467949133,2000-02-23
25046.0709102373,2000-02-24
27225.1127401884,2000-02-25
28102.1895202234,2000-02-26
31255.4426867602,2000-02-27
31494.5083267182,2000-02-28
35847.0112745204,2000-02-29
41563.9229157356,2000-03-01
44564.2344047221,2000-03-02
45877.8133690084,2000-03-03
45812.5039544331,2000-03-04
45884.7515516191,2000-03-05
46487.1667983018,2000-03-06
46093.0478599989,2000-03-07
46561.0735261122,2000-03-08
46897.7262127911,2000-03-09
45911.4484716649,2000-03-10
44622.0023164596,2000-03-11
42015.9605958328,2000-03-12
40651.8535625333,2000-03-13
39260.2954589042,2000-03-14
37123.6368749015,2000-03-15
32702.6570813322,2000-03-16
25727.6719367168,2000-03-17
24037.7719808248,2000-03-18
22703.0768085927,2000-03-19
24175.4798226428,2000-03-20
25606.5554011419,2000-03-21
27053.1664754868,2000-03-22
29238.5431678216,2000-03-23
34166.7644422608,2000-03-24
38667.5333358539,2000-03-25
41983.682963687,2000-03-26
46143.8775891256,2000-03-27
46229.8507214764,2000-03-28
45468.1589348596,2000-03-29
44717.3269123292,2000-03-30
45425.1723686842,2000-03-31
45521.4019448944,2000-04-01
48426.6904981247,2000-04-02
45531.3567286403,2000-04-03
43793.1911545864,2000-04-04
42059.5504822352,2000-04-05
41806.7593071125,2000-04-06
38186.5362848597,2000-04-07
36753.0474254525,2000-04-08
30999.7857405592,2000-04-09
27078.6567550785,2000-04-10
25158.1376424069,2000-04-11
24901.5757158653,2000-04-12
25482.1206043184,2000-04-13
25312.1351303546,2000-04-14
26363.8731161128,2000-04-15
28053.7730720048,2000-04-16
31290.2844298708,2000-04-17
37332.3856734516,2000-04-18
43717.7761262085,2000-04-19
46164.2396467876,2000-04-20
48406.9317606897,2000-04-21
49755.3524680866,2000-04-22
48415.5290739248,2000-04-23
48828.3509392654,2000-04-24
51100.0024240646,2000-04-25
51788.6924632116,2000-04-26
51356.5643506062,2000-04-27
49669.831825906,2000-04-28
48804.9722804683,2000-04-29
46342.6716039298,2000-04-30
41558.1913735789,2000-05-01
36496.0330087406,2000-05-02
31916.6816555777,2000-05-03
27625.1140507048,2000-05-04
27536.2751472756,2000-05-05
29336.4318746562,2000-05-06
29835.9810226314,2000-05-07
33559.6734638187,2000-05-08
33623.3237477696,2000-05-09
35382.153039599,2000-05-10
39784.2790760739,2000-05-11
45583.6947583346,2000-05-12
47523.3692882142,2000-05-13
48476.1627567406,2000-05-14
48367.7159459332,2000-05-15
49101.6550021069,2000-05-16
50806.6379636745,2000-05-17
53658.68350687,2000-05-18
56143.0053716949,2000-05-19
56321.1356687235,2000-05-20
56148.5860837948,2000-05-21
52898.6508508775,2000-05-22
51249.173350196,2000-05-23
47702.8570557536,2000-05-24
43289.418765022,2000-05-25
38833.7480583988,2000-05-26
31845.9423589592,2000-05-27
27806.8642690956,2000-05-28
27603.5453525887,2000-05-29
27268.0993063638,2000-05-30
29203.8522547678,2000-05-31
34046.4020569696,2000-06-01
36167.3743150697,2000-06-02
37041.8869841399,2000-06-03
41111.8852356385,2000-06-04
45972.0821544808,2000-06-05
49627.9010701279,2000-06-06
50460.7846435335,2000-06-07
49388.0812798862,2000-06-08
49646.1515069954,2000-06-09
50392.3077977663,2000-06-10
52051.4384220802,2000-06-11
55392.475009278,2000-06-12
53305.2886838912,2000-06-13
53700.0109424211,2000-06-14
52734.5477491272,2000-06-15
50299.9998030318,2000-06-16
48670.5826998988,2000-06-17
44785.9545881531,2000-06-18
38826.9607058448,2000-06-19
33704.4703183042,2000-06-20
27554.6764141999,2000-06-21
26408.0663227422,2000-06-22
26721.340350624,2000-06-23
28079.1125215398,2000-06-24
30703.5555090908,2000-06-25
34305.2264343626,2000-06-26
34023.4758883428,2000-06-27
38329.5231786642,2000-06-28
43703.5981008735,2000-06-29
47929.8562911711,2000-06-30
50184.4639795568,2000-07-01
49456.2564655398,2000-07-02
49752.1850368947,2000-07-03
50289.5925291156,2000-07-04
53353.8559621665,2000-07-05
55855.8249436318,2000-07-06
57195.3466776801,2000-07-07
56436.8223222552,2000-07-08
55440.4389673263,2000-07-09
50806.4871336178,2000-07-10
47934.0795327602,2000-07-11
43477.0513556263,2000-07-12
38238.1201642702,2000-07-13
33384.2581078117,2000-07-14
27211.9905252507,2000-07-15
25450.4462923996,2000-07-16
25829.9347151972,2000-07-17
27544.1183102269,2000-07-18
29136.5820494547,2000-07-19
30558.3061644349,2000-07-20
32742.325386259,2000-07-21
37820.0192469431,2000-07-22
44806.1658157584,2000-07-23
48606.1782656641,2000-07-24
49759.8773697892,2000-07-25
48705.1227828959,2000-07-26
49075.1089121179,2000-07-27
50020.66253792,2000-07-28
55152.6552190362,2000-07-29
54297.7504573444,2000-07-30
54441.9439916029,2000-07-31
54950.844603097,2000-08-01
51787.9383129278,2000-08-02
49569.0773479932,2000-08-03
45870.8751863976,2000-08-04
40859.0940605158,2000-08-05
35927.7053548848,2000-08-06
31715.6251899222,2000-08-07
28543.5182662909,2000-08-08
26733.2559251077,2000-08-09
25905.3497435751,2000-08-10
27470.0607523598,2000-08-11
29662.5264573622,2000-08-12
31536.8915726666,2000-08-13
32877.3182870554,2000-08-14
36756.8181768714,2000-08-15
43085.1948681747,2000-08-16
45970.2721937997,2000-08-17
46006.3205773643,2000-08-18
47365.6010488476,2000-08-19
44477.205461974,2000-08-20
44557.5978822248,2000-08-21
46325.0244872893,2000-08-22
48076.7647664512,2000-08-23
48589.4361293642,2000-08-24
47033.0207737011,2000-08-25
45901.6445179758,2000-08-26
42999.9758861076,2000-08-27
40678.3996525223,2000-08-28
37152.7470758554,2000-08-29
33714.5759321069,2000-08-30
29222.253521692,2000-08-31
24560.8506176539,2000-09-01
22537.4654062748,2000-09-02
22813.7860702514,2000-09-03
23690.5611901729,2000-09-04
25200.671718412,2000-09-05
26373.8278998587,2000-09-06
26580.3142475574,2000-09-07
32399.488667253,2000-09-08
37898.6017065129,2000-09-09
42350.5016617172,2000-09-10
45207.6754268423,2000-09-11
46088.5229582962,2000-09-12
44969.0622770547,2000-09-13
42741.0006786579,2000-09-14
44864.9895378932,2000-09-15
45015.2162744219,2000-09-16
44982.7878122194,2000-09-17
45067.8559642297,2000-09-18
43008.422369286,2000-09-19
41018.0689403364,2000-09-20
40794.2371361108,2000-09-21
39143.4021649185,2000-09-22
37247.9208416683,2000-09-23
31113.0591131828,2000-09-24
26535.5177207009,2000-09-25
24112.8853490892,2000-09-26
22516.1983682722,2000-09-27
23339.2779879887,2000-09-28
24611.8311768374,2000-09-29
25613.3427536959,2000-09-30
25459.9485859752,2000-10-01
29782.8888426533,2000-10-02
36737.5119296067,2000-10-03
42543.8657944781,2000-10-04
45006.9206213004,2000-10-05
48201.5012233883,2000-10-06
49585.5178241795,2000-10-07
49613.7230447929,2000-10-08
51450.0789857948,2000-10-09
53074.9711872251,2000-10-10
52470.8968099181,2000-10-11
52050.8351018531,2000-10-12
50263.3480992401,2000-10-13
48593.8102010101,2000-10-14
46527.4384234556,2000-10-15
42831.1970525979,2000-10-16
38248.8290982998,2000-10-17
32113.514879644,2000-10-18
28729.7933863843,2000-10-19
26841.4010758017,2000-10-20
27388.0092014847,2000-10-21
28797.9685720379,2000-10-22
31431.008872824,2000-10-23
33162.0854342104,2000-10-24
34482.4517510507,2000-10-25
38919.1178705226,2000-10-26
45796.3651383602,2000-10-27
50093.3626252763,2000-10-28
51352.341109017,2000-10-29
51180.5456743722,2000-10-30
50951.2839881033,2000-10-31
52118.5577973365,2000-11-01
53908.0055906874,2000-11-02
57142.7069878723,2000-11-03
56066.0820427494,2000-11-04
55423.3951709129,2000-11-05
53053.7041492225,2000-11-06
51015.2359321678,2000-11-07
47736.6429884669,2000-11-08
44446.1344702823,2000-11-09
49384.6121885808,2000-11-10
31443.5277675347,2000-11-11
28333.2611671733,2000-11-12
26914.101163158,2000-11-13
27423.3034347655,2000-11-14
29703.2505726863,2000-11-15
31712.0052685601,2000-11-16
33973.0986493863,2000-11-17
36662.8510515126,2000-11-18
41200.7241390677,2000-11-19
46344.3307345541,2000-11-20
49704.3719089031,2000-11-21
50584.9177802435,2000-11-22
49731.6721491759,2000-11-23
49634.3867625684,2000-11-24
51014.9342720543,2000-11-25
54661.1000640691,2000-11-26
56624.4549128594,2000-11-27
56485.691260644,2000-11-28
56334.7103738315,2000-11-29
54579.1993432507,2000-11-30
51268.6304275175,2000-12-01
47619.9005245379,2000-12-02
44050.6580614686,2000-12-03
39035.5586743381,2000-12-04
32115.4756703818,2000-12-05
27487.5570389435,2000-12-06
26383.7826836045,2000-12-07
28014.7080873051,2000-12-08
27820.2881441468,2000-12-09
30670.674556718,2000-12-10
32966.4588505981,2000-12-11
36621.6744460182,2000-12-12
40505.2467473667,2000-12-13
47543.7313458762,2000-12-14
50220.6631931782,2000-12-15
51197.7403008423,2000-12-16
51421.8737651814,2000-12-17
50785.370925672,2000-12-18
52037.4112268019,2000-12-19
55491.4195265098,2000-12-20
57727.1734578011,2000-12-21
58788.2629070781,2000-12-22
55968.7966561419,2000-12-23
50648.5680641944,2000-12-24
49643.5873960305,2000-12-25
48095.6185235457,2000-12-26
43127.4272840663,2000-12-27
39326.50985382,2000-12-28
31661.0247093766,2000-12-29
28368.5554004542,2000-12-30
27853.1690965196,2000-12-31
28239.595701928,2001-01-01
29253.777003554,2001-01-02
30848.5031936331,2001-01-03
34569.7823539123,2001-01-04
35874.46234485,2001-01-05
39301.9245545689,2001-01-06
45620.3464621262,2001-01-07
49029.2565748641,2001-01-08
49513.1193969368,2001-01-09
48591.0952599885,2001-01-10
49059.1209261018,2001-01-11
49995.1722583283,2001-01-12
52980.7024017527,2001-01-13
56830.4887703878,2001-01-14
55941.4964158691,2001-01-15
55089.4574252556,2001-01-16
52744.5025328731,2001-01-17
49472.0936214992,2001-01-18
47250.6685455997,2001-01-19
43359.5547414135,2001-01-20
39152.6027983806,2001-01-21
31304.7641153194,2001-01-22
27326.6213683851,2001-01-23
26550.90238649,2001-01-24
27734.4658418528,2001-01-25
28323.0047233139,2001-01-26
30961.4749061432,2001-01-27
33395.8720221819,2001-01-28
35708.0967922483,2001-01-29
39245.3632832854,2001-01-30
45827.4361300519,2001-01-31
48146.7499127859,2001-02-01
48751.7292704335,2001-02-02
48780.9903014441,2001-02-03
47558.9651816086,2001-02-04
51951.4380944511,2001-02-05
49274.6570772058,2001-02-06
50516.7425945899,2001-02-07
50248.1142635078,2001-02-08
46439.6553304237,2001-02-09
44128.4863707546,2001-02-10
42888.3616441084,2001-02-11
41476.4414828173,2001-02-12
38898.0016625768,2001-02-13
36595.279186086,2001-02-14
30669.1662561504,2001-02-15
26896.0015563473,2001-02-16
26476.9956586796,2001-02-17
26658.7458770704,2001-02-18
28602.1911583689,2001-02-19
30201.4422501507,2001-02-20
30972.1838401728,2001-02-21
33351.8296456092,2001-02-22
38201.166800365,2001-02-23
40631.1898447577,2001-02-24
45400.1345792627,2001-02-25
49946.0016598259,2001-02-26
51981.0007855752,2001-02-27
51225.9455214557,2001-02-28
50917.1963952765,2001-03-01
47413.8666670095,2001-03-02
49303.7672781597,2001-03-03
49522.1692003421,2001-03-04
47417.7882484851,2001-03-05
46079.6239849476,2001-03-06
43539.0425089529,2001-03-07
41648.5385775756,2001-03-08
40117.161011334,2001-03-09
37997.8478838582,2001-03-10
32476.5628262552,2001-03-11
27867.0454617411,2001-03-12
27282.4281617556,2001-03-13
25414.5487388918,2001-03-14
28900.0805204616,2001-03-15
27623.0024299102,2001-03-16
30658.4573221208,2001-03-17
31374.7492616541,2001-03-18
36735.7019689256,2001-03-19
40897.7065550453,2001-03-20
45194.5532119046,2001-03-21
49446.905002021,2001-03-22
52385.5269977943,2001-03-23
53088.0934021628,2001-03-24
53813.2843150447,2001-03-25
53994.7328733219,2001-03-26
55108.1603522933,2001-03-27
55376.9395134321,2001-03-28
53013.1308639552,2001-03-29
51714.3332452309,2001-03-30
49465.7587591154,2001-03-31
48203.4620141261,2001-04-01
44686.557580751,2001-04-02
37775.3735501434,2001-04-03
31820.6029094242,2001-04-04
29467.2015338634,2001-04-05
28107.3177421531,2001-04-06
30011.8488688086,2001-04-07
30681.9868109747,2001-04-08
31466.3031061049,2001-04-09
34468.1228956589,2001-04-10
36478.0842319867,2001-04-11
40765.7302553839,2001-04-12
46161.3738757093,2001-04-13
49033.4798164533,2001-04-14
50826.2458710528,2001-04-15
50182.503188819,2001-04-16
51289.1433152363,2001-04-17
53842.3945159986,2001-04-18
58244.0680623032,2001-04-19
58103.9469395771,2001-04-20
57693.6891852013,2001-04-21
55542.7017458068,2001-04-22
54560.0439260427,2001-04-23
54185.0804049478,2001-04-24
49472.3952816127,2001-04-25
43694.5482974681,2001-04-26
39471.4575383624,2001-04-27
34412.9190948862,2001-04-28
27728.8851297528,2001-04-29
29253.0228532702,2001-04-30
27089.2148590514,2001-05-01
28378.3593541433,2001-05-02
33802.9623453658,2001-05-03
35491.9573209173,2001-05-04
35781.7018599452,2001-05-05
41856.2315657284,2001-05-06
48668.621909161,2001-05-07
50879.3380510308,2001-05-08
52106.3405627393,2001-05-09
51882.2070984002,2001-05-10
51819.6126248465,2001-05-11
52303.0229567488,2001-05-12
52929.4201824557,2001-05-13
53700.6142626481,2001-05-14
57132.1488838994,2001-05-15
55360.951527416,2001-05-16
53282.3625152643,2001-05-17
50995.326364676,2001-05-18
49195.471297409,2001-05-19
45864.3894939571,2001-05-20
38962.104436698,2001-05-21
32177.6176537652,2001-05-22
27710.0313726583,2001-05-23
27552.5647934053,2001-05-24
27758.2969908202,2001-05-25
30448.8035432302,2001-05-26
31651.3715857442,2001-05-27
33651.5289683829,2001-05-28
35648.2172597163,2001-05-29
41040.2409586795,2001-05-30
47274.6505246239,2001-05-31
49480.5401046775,2001-06-01
49710.5559412301,2001-06-02
50095.7759061844,2001-06-03
51417.198033422,2001-06-04
51853.8510477301,2001-06-05
53596.5415234866,2001-06-06
56267.5909985751,2001-06-07
56250.2455420482,2001-06-08
55373.1687620132,2001-06-09
54995.4902998967,2001-06-10
50460.3321533632,2001-06-11
49348.2621449027,2001-06-12
44030.8993240336,2001-06-13
38956.9762147683,2001-06-14
31328.2936041733,2001-06-15
28247.589694936,2001-06-16
28243.0647932333,2001-06-17
28433.4123248592,2001-06-18
28791.7845397109,2001-06-19
31508.83718211,2001-06-20
33624.0778980534,2001-06-21
36196.6353460804,2001-06-22
41127.2699014276,2001-06-23
47375.4050025367,2001-06-24
49956.2581036853,2001-06-25
51389.445302979,2001-06-26
51403.020008087,2001-06-27
50726.9996937075,2001-06-28
50950.5298378196,2001-06-29
53620.8251626243,2001-06-30
54578.1435328534,2001-07-01
54066.980470508,2001-07-02
53283.1166655481,2001-07-03
52288.5432713003,2001-07-04
51090.6509605457,2001-07-05
48252.6326126285,2001-07-06
43432.103998713,2001-07-07
38741.7417237778,2001-07-08
31902.3528001859,2001-07-09
28392.2357193648,2001-07-10
26821.3406782531,2001-07-11
